,Harry Potter and the Deathly Hallows - Part 2: 
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,34
2004-06,0
2004-07,0
2004-08,0
2004-09,36
2004-10,0
2004-11,0
2004-12,18
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,30
2005-07,0
2005-08,28
2005-09,0
2005-10,0
2005-11,40
2005-12,0
2006-01,12
2006-02,0
2006-03,0
2006-04,0
2006-05,22
2006-06,0
2006-07,8
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,16
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,10
2007-09,5
2007-10,0
2007-11,0
2007-12,0
2008-01,4
2008-02,6
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,4
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,5
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,4
2009-12,0
2010-01,5
2010-02,4
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,4
2011-04,3
2011-05,3
2011-06,13
2011-07,100
2011-08,30
2011-09,18
2011-10,24
2011-11,23
2011-12,17
2012-01,8
2012-02,10
2012-03,8
2012-04,2
2012-05,6
2012-06,9
2012-07,8
2012-08,6
2012-09,5
2012-10,6
2012-11,9
2012-12,5
2013-01,5
2013-02,0
2013-03,3
2013-04,4
2013-05,4
2013-06,4
2013-07,6
2013-08,2
2013-09,4
2013-10,2
2013-11,3
2013-12,6
2014-01,6
2014-02,4
2014-03,8
2014-04,2
2014-05,5
2014-06,4
2014-07,5
2014-08,1
2014-09,2
2014-10,5
2014-11,4
2014-12,6
2015-01,6
2015-02,3
2015-03,4
2015-04,4
2015-05,1
2015-06,5
2015-07,5
2015-08,3
2015-09,2
2015-10,3
2015-11,5
2015-12,5
2016-01,6
2016-02,23
2016-03,29
2016-04,39
2016-05,47
2016-06,36
2016-07,32
2016-08,36
2016-09,21
2016-10,66
2016-11,27
2016-12,24
2017-01,22
2017-02,20
2017-03,16
2017-04,15
2017-05,14
2017-06,16
2017-07,23
2017-08,19
2017-09,20
2017-10,18
2017-11,17
2017-12,23
2018-01,23
2018-02,15
2018-03,15
2018-04,10
2018-05,10
2018-06,14
2018-07,17
2018-08,17
2018-09,36
2018-10,15
2018-11,19
2018-12,10
2019-01,8
2019-02,4
2019-03,4
2019-04,1
2019-05,3
2019-06,3
2019-07,4
2019-08,3
2019-09,3
2019-10,3
2019-11,2
2019-12,10
2020-01,8
2020-02,10
2020-03,18
2020-04,30
2020-05,22
2020-06,15
2020-07,12
2020-08,17
2020-09,29
2020-10,11
2020-11,6
2020-12,12
2021-01,20
2021-02,18
2021-03,15
2021-04,8
2021-05,5
2021-06,5
2021-07,6
2021-08,6
2021-09,14
2021-10,21
2021-11,19
2021-12,13
2022-01,12
2022-02,5
2022-03,6
2022-04,7
2022-05,5
2022-06,7
2022-07,5
2022-08,4
2022-09,3
2022-10,5
2022-11,5
2022-12,2
2023-01,6
2023-02,10
2023-03,5
2023-04,6
2023-05,6
2023-06,4
2023-07,4
2023-08,6
2023-09,4
2023-10,9
2023-11,16
2023-12,21
2024-01,16
2024-02,14
